ranking_2025,nit,razon_social,supervisor,región,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales_2025,ganancia_pérdida_2025,total_activos_2025,total_pasivos_2025,total_patrimonio_2025,ingresos_operacionales_2024,ganancia_pérdida_2024,total_activos_2024,total_pasivos_2024,total_patrimonio_2024,ranking_20251
5829,900629775,CI TRANSATLANTIC GREENTRADE SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4732 - Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores",COMERCIO,43736258,557610,15819907,13570971,2248936,23038285.0,142916.0,10661059.0,8969733.0,1691326.0,5829
5830,901350682,GREENLAND INVESTMENTS S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,ENVIGADO-ANTIOQUIA,M7010 - Actividades de administración empresarial,SERVICIOS,43723711,31036855,1069694565,53874691,1015819874,27946522.0,19855614.0,991789251.0,132832710.0,858956541.0,5830
5831,901399924,MAG INVESTMENT GROUP SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,43707174,869950,8370135,6325864,2044271,21959471.0,532093.0,4347955.0,3173634.0,1174321.0,5831
5832,830113600,INVERSEGOVIA S A S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4799 - Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados",COMERCIO,43705129,42692326,973250558,154635800,818614758,4037607.0,2349899.0,898571524.0,155699237.0,742872287.0,5832
5833,900439562,IMPALA TERMINALS COLOMBIA S.A.S.,SUPERTRANSPORTE,CARIBE,ATLÁNTICO,BARRANQUILLA,H5224 - Manipulación de carga,SERVICIOS,43686117,-197699219,143485116,1118992521,-975507405,127010479.0,-204705626.0,1102332147.0,2097335014.0,-995002867.0,5833
5834,900663412,COMERCIALIZADORA AVISUR POLLOS SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4723 - Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados",COMERCIO,43680615,806712,8323233,3390980,4932253,43259878.0,300868.0,6389509.0,2263968.0,4125541.0,5834
5835,900712613,COLPERFILES S.A.S.,SUPERSOCIEDADES,PACÍFICO,VALLE DEL CAUCA,CANDELARIA-VALLE,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",COMERCIO,43680340,2349940,15820765,9540264,6280501,32515494.0,202939.0,14473705.0,10543144.0,3930561.0,5835
5836,900507746,CONCREACEROS SAS,SUPERSOCIEDADES,CARIBE,SUCRE,SINCELEJO-SUCRE,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",COMERCIO,43677459,1462032,20781529,9849924,10931605,41888319.0,1542608.0,20363668.0,11681342.0,8682326.0,5836
5837,811027733,ASOBRANGUS COMERCIAL S.A.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,C1011 - Procesamiento y conservación de carne y productos cárnicos,MANUFACTURA,43673205,1056332,7108761,3512836,3595925,40775589.0,1544604.0,8307693.0,3929744.0,4377949.0,5837
5838,830071114,CONCRETOS ASFALTICOS DE COLOMBIA S.A EN REORGANIZACION,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,F4290 - Construcción de otras obras de ingeniería civil,CONSTRUCCIÓN,43672154,-46625,32686218,27468535,5217683,35654102.0,4678106.0,37566633.0,30077426.0,7489207.0,5838
5839,890913861,UNIFORMES INDUSTRIALES ROPA Y CALZADO QUINLOP S.A.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,"C1410 - Confección de prendas de vestir, excepto prendas de piel",MANUFACTURA,43667328,-1171670,41753748,15257417,26496331,52565972.0,2068080.0,48671492.0,21003491.0,27668001.0,5839
5840,901213237,CASA FERTIL SAS ZOMAC,SUPERSOCIEDADES,LLANOS ORIENTALES,META,GRANADA-META,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",COMERCIO,43663797,1317371,33264722,24168805,9095917,39071876.0,1138914.0,34608624.0,26830078.0,7778546.0,5840
5841,800142811,COMERCIALIZADORA INTERNACIONAL DE COLORANTES S.A.S.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,MOSQUERA-CUNDINAMARCA,C2029 - Fabricación de otros productos químicos n.c.p.,MANUFACTURA,43662490,1233916,49734494,8694256,41040238,42554292.0,2343877.0,51515813.0,11237131.0,40278682.0,5841
5842,860029126,JARDINES DE PAZ S.A.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,S9603 - Pompas fúnebres y actividades relacionadas,SERVICIOS,43651591,2946227,99950052,60597193,39352859,39655124.0,2064942.0,96651378.0,57508774.0,39142604.0,5842
5843,800180375,ADMINISTRADORA HOTELERA DANN S.A.S EN REORGANIZACION,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,I5511 - Alojamiento en hoteles,SERVICIOS,43650978,1623517,34554616,27630029,6924587,43118240.0,1985294.0,36589043.0,31287974.0,5301069.0,5843
5844,900323278,C I DISTRIBUCIONES SYE S A S,SUPERSOCIEDADES,CARIBE,ATLÁNTICO,BARRANQUILLA,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",COMERCIO,43640041,2107425,34032852,12520932,21511920,40688687.0,1303544.0,35227423.0,15822927.0,19404496.0,5844
5845,830081422,LICEO DE COLOMBIA CORREA Y CIA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,P8530 - Establecimientos que combinan diferentes niveles de educación,SERVICIOS,43638675,1632276,30430592,16736313,13694279,39422250.0,1647474.0,29580315.0,17518312.0,12062003.0,5845
